Energía Eléctrica (categoría),Subcategoría,Potencia Nominal (MW),Potencia Nominal (%),Potencia Efectiva (MW),Potencia Efectiva (%),Producción Total (GWh),Producción Total (%),Producción SNI (GWh),Producción SNI (%),Entregada a Servicio Público (GWh),Entregada a Servicio Público (%),Mes,Año
Renovable, Fotovoltaica ,28.65,0.0033,27.76,0.0034,37.31,0.0011,33.09,0.0011,36.34,0.0014,Junio,2022
Renovable, Biomasa ,144.3,0.0164,136.4,0.0167,375.07,0.0114,375.07,0.0129,147,0.0055,Junio,2022
Renovable, Hidráulica ,5155.3,0.5867,5120.71,0.6281,25252.92,0.7661,25239.32,0.8713,23694.35,0.8827,Junio,2022
No Renovable, Térmica Turbovapor ,461.63,0.0525,431.5,0.0529,1319.21,0.04,1304.48,0.045,1201.88,0.0448,Junio,2022
No Renovable, Térmica Turbogas ,943.85,0.1074,790.55,0.097,908.28,0.0276,581.48,0.0201,562.36,0.0209,Junio,2022
No Renovable, Térmica MCI ,2023.64,0.2303,1617.47,0.1984,4582.67,0.139,949.58,0.0328,717.07,0.0267,Junio,2022
Interconexiones, Perú,110,0.1692,110,0.1732,0,0,0,0,0,0,Junio,2022
Interconexiones, Colombia ,540,0.8308,525,0.8268,388.51,0.0118,388.51,0.0134,388.51,0.0145,Junio,2022
Renovable, Biogas ,8.32,0.0009,7.2,0.0009,39.27,0.0012,39.27,0.0014,39.09,0.0015,Julio,2022
Renovable, Eólica ,21.15,0.0024,21.15,0.0026,55.35,0.0017,53.12,0.0018,54.38,0.002,Julio,2022
Renovable, Fotovoltaica ,28.65,0.0033,27.76,0.0034,37.19,0.0011,32.78,0.0011,36.19,0.0013,Julio,2022
Renovable, Biomasa ,144.3,0.0164,136.4,0.0167,378.49,0.0115,378.49,0.013,147.68,0.0055,Julio,2022
Renovable, Hidráulica ,5155.3,0.5865,5120.71,0.6279,25353.64,0.7675,25340.99,0.8721,23790.13,0.8832,Julio,2022
No Renovable, Térmica Turbovapor ,461.63,0.0525,431.5,0.0529,1336.49,0.0405,1324.4,0.0456,1219.81,0.0453,Julio,2022
No Renovable, Térmica Turbogas ,943.85,0.1074,790.55,0.0969,907.03,0.0275,579.35,0.0199,559.59,0.0208,Julio,2022
No Renovable, Térmica MCI ,2026.09,0.2305,1619.63,0.1986,4535.91,0.1373,919.88,0.0317,698.83,0.0259,Julio,2022
Interconexiones, Perú,110,0.1692,110,0.1732,0,0,0,0,0,0,Julio,2022
Interconexiones, Colombia ,540,0.8308,525,0.8268,390.62,0.0118,390.62,0.0134,390.62,0.0145,Julio,2022
Renovable, Biogas ,8.32,0.0009,7.2,0.0009,39.46,0.0012,39.46,0.0014,39.28,0.0015,Agosto,2022
Renovable, Eólica ,21.15,0.0024,21.15,0.0026,55.38,0.0017,53.06,0.0018,54.42,0.002,Agosto,2022
Renovable, Fotovoltaica ,28.65,0.0033,27.76,0.0034,37.36,0.0011,32.77,0.0011,36.33,0.0013,Agosto,2022
Renovable, Biomasa ,144.3,0.0164,136.4,0.0167,378.94,0.0114,378.94,0.013,149.42,0.0055,Agosto,2022
Renovable, Hidráulica ,5155.3,0.5865,5120.71,0.6279,25449.75,0.7677,25437.38,0.8722,23885.12,0.882,Agosto,2022
No Renovable, Térmica Turbovapor ,461.63,0.0525,431.5,0.0529,1370.81,0.0414,1361.26,0.0467,1252.48,0.0462,Agosto,2022
No Renovable, Térmica Turbogas ,943.85,0.1074,790.55,0.0969,902.25,0.0272,577.08,0.0198,557.1,0.0206,Agosto,2022
No Renovable, Térmica MCI ,2026.09,0.2305,1619.63,0.1986,4548.68,0.1372,916.92,0.0314,739.34,0.0273,Agosto,2022
Interconexiones, Perú,110,0.1692,110,0.1732,0,0,0,0,0,0,Agosto,2022
Interconexiones, Colombia ,540,0.8308,525,0.8268,368.36,0.0111,368.36,0.0126,368.36,0.0136,Agosto,2022
Renovable, Biogas ,8.32,0.0009,7.2,0.0009,39.9,0.0012,39.9,0.0014,39.71,0.0015,Septiembre,2022
Renovable, Eólica ,21.15,0.0024,21.15,0.0026,53.39,0.0016,50.8,0.0017,52.47,0.0019,Septiembre,2022
Renovable, Fotovoltaica ,28.65,0.0033,27.76,0.0034,37.59,0.0011,32.83,0.0011,36.53,0.0013,Septiembre,2022
Renovable, Biomasa ,144.3,0.0164,136.4,0.0167,381.08,0.0115,381.08,0.013,153.01,0.0056,Septiembre,2022
Renovable, Hidráulica ,5155.3,0.5865,5120.71,0.6279,25622.72,0.7702,25610.96,0.8746,24056.27,0.8832,Septiembre,2022
No Renovable, Térmica Turbovapor ,461.63,0.0525,431.5,0.0529,1401.46,0.0421,1394.46,0.0476,1282.53,0.0471,Septiembre,2022
No Renovable, Térmica Turbogas ,943.85,0.1074,790.55,0.0969,908.36,0.0273,587.71,0.0201,568.2,0.0209,Septiembre,2022
No Renovable, Térmica MCI ,2026.09,0.2305,1619.63,0.1986,4597.46,0.1382,962.17,0.0329,825.49,0.0303,Septiembre,2022
Interconexiones, Perú,110,0.1692,110,0.1732,0,0,0,0,0,0,Septiembre,2022
Interconexiones, Colombia ,540,0.8308,525,0.8268,224.15,0.0067,224.15,0.0077,224.15,0.0082,Septiembre,2022
Renovable, Biogas ,8.32,0.0009,7.2,0.0009,40.8,0.0012,40.8,0.0014,40.63,0.0015,Octubre,2022
Renovable, Eólica ,21.15,0.0024,21.15,0.0026,53.34,0.0016,50.69,0.0017,52.43,0.0019,Octubre,2022
Renovable, Fotovoltaica ,28.65,0.0032,27.76,0.0034,37.81,0.0011,32.82,0.0011,36.73,0.0013,Octubre,2022
Renovable, Biomasa ,144.3,0.0164,136.4,0.0167,377.9,0.0114,377.9,0.0129,153.21,0.0056,Octubre,2022
Renovable, Hidráulica ,5191.3,0.5882,5151.31,0.6293,25567.68,0.768,25556.45,0.8724,23994.67,0.8771,Octubre,2022
No Renovable, Térmica Turbovapor ,461.63,0.0523,431.5,0.0527,1397.26,0.042,1392.94,0.0475,1282.07,0.0469,Octubre,2022
No Renovable, Térmica Turbogas ,943.85,0.1069,790.55,0.0966,922.21,0.0277,609.48,0.0208,590.56,0.0216,Octubre,2022
No Renovable, Térmica MCI ,2026.12,0.2296,1620.27,0.1979,4732.42,0.1422,1071.76,0.0366,1043.48,0.0381,Octubre,2022
Interconexiones, Perú,110,0.1692,110,0.1732,0,0,0,0,0,0,Octubre,2022
Interconexiones, Colombia ,540,0.8308,525,0.8268,162.29,0.0049,162.29,0.0055,162.29,0.0059,Octubre,2022
