Energía Eléctrica (categoría),Subcategoría,Potencia Nominal (MW),Potencia Nominal (%),Potencia Efectiva (MW),Potencia Efectiva (%),Producción Total (GWh),Producción Total (%),Producción SNI (GWh),Producción SNI (%),Entregada a Servicio Público (GWh),Entregada a Servicio Público (%),Mes,Año
Interconexiones,Perú,110,0.1692,110,0.1692,27.08,0.0007,27.08,0.0008,27.08,0.0009,Julio,2024
Renovable,Hidráulica,5215.17,0.58,5209.11,0.6924,24330.54,0.656,24315.02,0.7394,22654.89,0.7384,Agosto,2024
Renovable,Eólica,71.13,0.0079,66.48,0.0088,222.94,0.006,220.92,0.0067,220.96,0.0072,Agosto,2024
Renovable,Fotovoltaica,28.13,0.0031,24.46,0.0033,39.68,0.0011,34.08,0.001,38.47,0.0013,Agosto,2024
Renovable,Biomasa,155.3,0.0173,155.3,0.0206,457.39,0.0123,457.39,0.0139,226,0.0074,Agosto,2024
Renovable,Biogas,8.32,0.0009,8.32,0.0011,37.87,0.001,37.87,0.0012,37.65,0.0012,Agosto,2024
No Renovable,Térmica MCI ,2119.42,0.2357,815.83,0.1084,6915.5,0.1865,3081.47,0.0937,2920.75,0.0952,Agosto,2024
No Renovable,Térmica Turbogas ,905.35,0.1007,797.8,0.106,1571.42,0.0424,1240.3,0.0377,1221.62,0.0398,Agosto,2024
No Renovable,Térmica Turbovapor ,488.53,0.0543,446,0.0593,2120.19,0.0572,2105.53,0.064,1969.13,0.0642,Agosto,2024
Interconexiones,Colombia,540,0.8308,540,0.8308,1365.21,0.0368,1365.21,0.0415,1365.21,0.0445,Agosto,2024
Interconexiones,Perú,110,0.1692,110,0.1692,27.08,0.0007,27.08,0.0008,27.08,0.0009,Agosto,2024
Renovable,Hidráulica,5215.17,0.5732,5209.11,0.6828,24042.76,0.6517,24027.16,0.7353,22371.16,0.7342,Septiembre,2024
Renovable,Eólica,71.13,0.0078,66.48,0.0087,224.47,0.0061,222.55,0.0068,222.49,0.0073,Septiembre,2024
Renovable,Fotovoltaica,29.13,0.0032,24.46,0.0032,39.27,0.0011,33.7,0.001,38.05,0.0012,Septiembre,2024
Renovable,Biomasa,155.3,0.0171,155.3,0.0204,464.75,0.0126,464.75,0.0142,230.79,0.0076,Septiembre,2024
Renovable,Biogas,8.32,0.0009,8.32,0.0011,37.25,0.001,37.25,0.0011,37.02,0.0012,Septiembre,2024
No Renovable,Térmica MCI ,2225.37,0.2446,921.13,0.1207,6930.02,0.1879,3087.33,0.0945,2926.56,0.096,Septiembre,2024
No Renovable,Térmica Turbogas ,905.35,0.0995,797.8,0.1046,1592.2,0.0432,1258.13,0.0385,1239.59,0.0407,Septiembre,2024
No Renovable,Térmica Turbovapor ,488.53,0.0537,446,0.0585,2164.83,0.0587,2151.71,0.0658,2010.95,0.066,Septiembre,2024
Interconexiones,Colombia,540,0.8308,540,0.8308,1367.88,0.0371,1367.88,0.0419,1367.88,0.0449,Septiembre,2024
Interconexiones,Perú,110,0.1692,110,0.1692,27.08,0.0007,27.08,0.0008,27.08,0.0009,Septiembre,2024
